language_code,language_name,ISO6393,macroarea,glottocode,latitude,longitude,aes,classification,family
aa,Afar,aar,Africa,afar1241,12.2281,41.8083,1,afro1255/cush1243/east2699/lowl1267/saho1245,Afro-Asiatic
ab,Abkhazian,abk,Eurasia,abkh1244,43.056218,41.159115,2,abkh1242/abkh1243,Abkhaz-Adyge
ace,Acehnese,ace,Papunesia,achi1257,3.90757,96.6032,2,aust1307/mala1545/mala1554/cham1327,Austronesian
ady,Adyghe,ady,Eurasia,adyg1241,44,39.33,2,abkh1242/circ1239,Abkhaz-Adyge
af,Afrikaans,afr,Africa,afri1274,-31.63272,20.46356,1,indo1319/clas1257/germ1287/nort3152/west2793/macr1270/midd1347/mode1257/glob1241/afri1273,Indo-European
ak,Akan,aka,Africa,akan1250,6.34756,-1.33254,1,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/cent2262/akan1251,Atlantic-Congo
alt,Southern Altai,alt,Eurasia,sout2694,50.1347,86.8705,3,turk1311/comm1245/kipc1240/kipc1239/sout3396/east2791,Turkic
am,Amharic,amh,Africa,amha1245,11.708182,39.543456,1,afro1255/semi1276/west2786/ethi1244/sout3078/amha1244,Afro-Asiatic
ami,Amis,ami,Papunesia,amis1246,23.0917,121.348,2,aust1307/east2493/cent2103,Austronesian
an,Aragonese,arg,Eurasia,arag1245,42.4669,-0.00919,3,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/unsh1234,Indo-European
ang,Old English,ang,Eurasia,olde1238,51.06,-1.31,6,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265,Indo-European
ann,Obolo,ann,Africa,obol1243,4.62851,7.81985,1,atla1278/volt1241/benu1247/delt1251/obol1242,Atlantic-Congo
anp,Angika,anp,Eurasia,angi1238,26.0047,85.534,2,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/midl1245/shau1239/biha1245/mait1254,Indo-European
ar,Arabic,arb,Eurasia,stan1318,27.9625,43.8525,1,afro1255/semi1276/west2786/cent2236/arab1394/arab1395,Afro-Asiatic
arc,Aramaic,arc,Eurasia,impe1235,33.905,42.185,6,afro1255/semi1276/west2786/cent2236/nort3165/aram1259/impe1236,Afro-Asiatic
ary,Moroccan Arabic,ary,Africa,moro1292,32.5,-7.5,1,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/nort3191/moro1295,Afro-Asiatic
arz,Egyptian Arabic,arz,Africa,egyp1253,31,31,1,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254,Afro-Asiatic
as,Assamese,asm,Eurasia,assa1263,26.0876,91.2932,1,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1323/oriy1254/gaud1237/kamt1240/assa1262,Indo-European
ast,Asturian,ast,Eurasia,astu1245,42.4181,-6.02227,1,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/astu1244,Indo-European
atj,Atikamekw,atj,North America,atik1240,47.9555,-73.7989,2,algi1248/algo1256/algo1257/cree1271,Algic
av,Avaric,ava,Eurasia,avar1256,41.7047,46.558,2,nakh1245/dagh1238/avar1255,Nakh-Daghestanian
avk,Kotava,avk,North America,kota1280,NA,NA,NA,arti1236,Artificial Language
awa,Awadhi,awa,Eurasia,awad1243,27.5907,82.4663,1,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/midl1245/shau1239/east2726/awad1245,Indo-European
ay,Aymara,ayr,South America,cent2142,-17,-68.5,1,ayma1253/nucl1667,Aymaran
az,Azerbaijani,azj,Eurasia,nort2697,40.97768,46.4737,1,turk1311/comm1245/oghu1243/nucl1769/azer1255,Turkic
azb,South Azerbaijani,azb,Eurasia,sout2697,36.5137,48.4302,1,turk1311/comm1245/oghu1243/nucl1769/azer1255,Turkic
ba,Bashkir,bak,Eurasia,bash1264,53.59671,56.55937,2,turk1311/comm1245/kipc1240/kipc1239/nort3424/nort2696/bash1267,Turkic
ban,Balinese,ban,Papunesia,bali1278,-8.35714,115.075,1,aust1307/mala1545/bali1277,Austronesian
bar,Bavarian,bar,Eurasia,bava1246,47.9232,13.246,2,indo1319/clas1257/germ1287/nort3152/west2793/high1289/high1286/midd1349/mode1258/baye1239,Indo-European
bbc,Batak Toba,bbc,Papunesia,bata1289,2.35498,99.1761,2,aust1307/mala1545/suma1277/toba1265/sout3166/sout2849,Austronesian
bcl,Central Bikol,bcl,Papunesia,cent2087,13.7574,123.403,1,aust1307/mala1545/grea1284/cent2246/biko1240/coas1315,Austronesian
bdr,West Coast Bajau,bdr,Papunesia,west2560,6.00631,116.124,2,aust1307/mala1545/basa1291/grea1283/sama1302/sulu1242/born1254,Austronesian
be,Belarusian,bel,Eurasia,bela1254,53.2307,25.6038,2,indo1319/clas1257/balt1263/slav1255/east1426,Indo-European
bew,Betawi,bew,Papunesia,beta1252,-6.21174,107.022,2,aust1307/mala1545/mala1554/mala1538/nucl1806/beta1260,Austronesian
bg,Bulgarian,bul,Eurasia,bulg1262,43.3646,25.047,1,indo1319/clas1257/balt1263/slav1255/sout3147/east2269/mace1252,Indo-European
bh,Bhojpuri,bho,Eurasia,bhoj1244,26.458455,84.817115,1,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/midl1245/shau1239/biha1245/mait1254/bhoj1246,Indo-European
bi,Bislama,bis,Papunesia,bisl1239,-15.4,166.89,1,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/paci1280/earl1243,Indo-European
bjn,Banjar,bjn,Papunesia,banj1239,0.747105,115.79,1,aust1307/mala1545/mala1554/mala1538/nucl1806/east2755/banj1240/banj1241,Austronesian
blk,Pa'O,blk,Eurasia,paok1235,20.211,97.5969,2,sino1245/kare1337/peri1254,Sino-Tibetan
bm,Bambara,bam,Africa,bamb1269,12.9,-7.65,1,mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/east2425,Mande
bn,Bangla,ben,Eurasia,beng1280,24,90,1,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1323/oriy1254/gaud1237/gaud1238,Indo-European
bo,Tibetan,bod,Eurasia,tibe1272,28.3681,90.1872,1,sino1245/bodi1256/bodi1257/oldm1245/tibe1276/late1253/cent2346,Sino-Tibetan
bpy,Bishnupriya,bpy,Eurasia,bish1244,24.4578,92.0157,2,indo1319/clas1257/indo1320/indo1321/midd1375/cont1248/indo1323/oriy1254/gaud1237/gaud1238,Indo-European
br,Breton,bre,Eurasia,bret1244,48.2452,-3.78934,1,indo1319/clas1257/celt1248/nucl1715/tgbc1234/insu1254/bryt1239/sout3176/midd1379/bret1245,Indo-European
bs,Bosnian,bos,Eurasia,bosn1245,43.859,17.046,1,indo1319/clas1257/balt1263/slav1255/sout3147/west2804/sout1528/shto1241/news1236/east2821,Indo-European
btm,Batak Mandailing,btm,Papunesia,bata1291,0.85805,99.898,2,aust1307/mala1545/suma1277/toba1265/sout3166/sout2849/angk1248,Austronesian
bug,Buginese,bug,Papunesia,bugi1244,-4.47,119.977,1,aust1307/mala1545/sout2923/sout3413/bugi1243/bugi1245,Austronesian
bxr,Russia Buriat,bxr,Eurasia,russ1264,50.85331,105.5637,3,mong1349/mong1329/oira1260/khal1273/buri1258,Mongolic-Khitan
ca,Catalan,cat,Eurasia,stan1289,41.453,1.569,2,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183,Indo-European
cbk-zam,Chavacano,cbk,Papunesia,chav1241,7.435034,122.18849,2,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/cast1243/sout3200/tern1253,Indo-European
cdo,Mindong,cdo,Eurasia,mind1253,26,119.5,1,sino1245/sini1245/minn1248/coas1318,Sino-Tibetan
ce,Chechen,che,Eurasia,chec1245,43.5,45.5,2,nakh1245/nakh1246/chec1244,Nakh-Daghestanian
ceb,Cebuano,ceb,Papunesia,cebu1242,8.38799,124.367,1,aust1307/mala1545/grea1284/cent2246/bisa1268,Austronesian
ch,Chamorro,cha,Papunesia,cham1312,13.438011,144.74474,3,aust1307/mala1545,Austronesian
cho,Choctaw,cho,North America,choc1276,32.25,-88.5,2,musk1252/west2614,Muskogean
chr,Cherokee,chr,North America,cher1273,35.4664,-83.163,3,iroq1247,Iroquoian
chy,Cheyenne,chy,North America,chey1247,45.5321,-106.659,3,algi1248/algo1256/algo1257,Algic
ckb,Central Kurdish,ckb,Eurasia,cent1972,35.6539,45.8077,1,indo1319/clas1257/indo1320/iran1269/cent2317/cent2318/nort3177/laki1246/kurd1259,Indo-European
co,Corsican,cos,Eurasia,cors1241,41.7,9.25537,1,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/sout3158/sard1256/cors1242,Indo-European
cr,Cree,crm,North America,moos1236,51.068600000000004,-80.6912,2,algi1248/algo1256/algo1257/cree1271/cree1272,Algic
crh,Crimean Tatar,crh,Eurasia,crim1257,45,34.08,2,turk1311/comm1245/kipc1240/kipc1239/nort3424/west1472/crim1256/crim1259,Turkic
cs,Czech,ces,Eurasia,czec1258,49.873398,15.10437,1,indo1319/clas1257/balt1263/slav1255/west2792/czec1260,Indo-European
csb,Kashubian,csb,Eurasia,kash1274,54.2996,18.6163,2,indo1319/clas1257/balt1263/slav1255/west2792/lech1241,Indo-European
cu,Church Slavic,chu,Eurasia,chur1257,43.7171,22.8442,6,indo1319/clas1257/balt1263/slav1255/sout3147/east2269,Indo-European
cv,Chuvash,chv,Eurasia,chuv1255,55.48701,47.16298,2,turk1311/bolg1249,Turkic
cy,Welsh,cym,Eurasia,wels1247,52,-4,2,indo1319/clas1257/celt1248/nucl1715/tgbc1234/insu1254/bryt1239/oldm1247,Indo-European
